species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
ADELIE,torgerSen,n/a,16.8,200,unknown,
Gentoo,torgerSen,40.7,17.0,,99999,FEMALE
Adelie,Biscoe,,,205,4167,male
Chinstrap,Dream,n/a,,200,,
Gentoo,torgerSen,n/a,,,5705,na
Adelie,torgerSen,n/a,,207,4542,female
ADELIE,Torgersen,n/a,16.2,178,,na
adelie,Dream,,,,,male
adelie,Dream,,,,4155,female
Gentoo,torgerSen,,,,,na
Adelie,torgerSen,52.4,,,unknown,male
adelie,Torgersen,,,214,99999,na
Gentoo,torgerSen,,13.2,189,unknown,na
Chinstrap,Dream,,,208,5434,
ADELIE,Biscoe,,,,3823,na
adelie,Torgersen,,19.3,,3684,
Chinstrap,torgerSen,n/a,,,,FEMALE
Chinstrap,torgerSen,,,189,99999,male
Gentoo,torgerSen,n/a,,200,unknown,
Gentoo,torgerSen,,,,,MALE
Gentoo,torgerSen,,,222,99999,na
adelie,Biscoe,,14.9,,,
adelie,torgerSen,,,206,99999,na
ADELIE,Dream,43.4,,186,,male
Chinstrap,torgerSen,,15.8,,unknown,MALE
ADELIE,torgerSen,48.7,,,,MALE
adelie,Torgersen,50.9,16.1,,unknown,female
Adelie,torgerSen,46.5,14.8,,99999,
Gentoo,Torgersen,46.4,,203,unknown,MALE
Gentoo,torgerSen,,15.8,,,na
Chinstrap,Biscoe,,17.6,,,na
Chinstrap,torgerSen,,17.1,,unknown,FEMALE
Gentoo,Torgersen,,,,99999,male
adelie,Dream,n/a,,,unknown,FEMALE
Gentoo,Biscoe,,,177,99999,FEMALE
ADELIE,Dream,n/a,,223,,MALE
Adelie,Torgersen,,,223,unknown,female
Chinstrap,Dream,,17.3,,5448,MALE
adelie,Torgersen,n/a,19.7,171,unknown,MALE
adelie,Biscoe,,16.3,,unknown,na
ADELIE,Dream,,,,unknown,
Gentoo,Torgersen,,16.7,221,99999,
adelie,Dream,52.5,,229,unknown,na
Adelie,torgerSen,n/a,,,,
Gentoo,Torgersen,,,193,unknown,na
Chinstrap,Torgersen,,,,,male
Chinstrap,Torgersen,38.5,,,5158,male
Chinstrap,Biscoe,,,,,na
Chinstrap,torgerSen,44.7,,,,MALE
Adelie,Dream,,,,99999,MALE
Adelie,Dream,n/a,14.4,,unknown,female
Adelie,torgerSen,53.4,21.8,,5393,male
Gentoo,Biscoe,,14.7,195,99999,na
Chinstrap,Biscoe,n/a,16.6,,5397,MALE
Chinstrap,Biscoe,n/a,14.9,186,4049,female
Adelie,Dream,,,216,99999,MALE
Adelie,Biscoe,,17.1,,5125,FEMALE
adelie,Dream,53.2,,,99999,na
Adelie,Dream,,15.0,216,,FEMALE
adelie,Torgersen,,,214,5853,MALE
ADELIE,Biscoe,37.0,17.4,,unknown,FEMALE
ADELIE,Dream,,,226,4296,
ADELIE,Biscoe,,,213,,MALE
adelie,torgerSen,,18.8,,,MALE
Gentoo,Dream,,,205,3110,male
Adelie,torgerSen,47.0,,209,5795,na
ADELIE,Dream,43.1,,,,
Adelie,Dream,n/a,,225,99999,female
adelie,Biscoe,45.1,,,unknown,male
Gentoo,Biscoe,,16.0,,unknown,male
Chinstrap,Dream,n/a,,,3228,female
Chinstrap,torgerSen,47.0,16.8,,4870,male
ADELIE,Biscoe,,,,unknown,female
Gentoo,Dream,n/a,17.4,184,99999,female
ADELIE,Torgersen,36.7,,,,FEMALE
ADELIE,torgerSen,,,188,3723,MALE
adelie,Torgersen,n/a,,,unknown,male
Chinstrap,torgerSen,37.4,18.6,206,unknown,female
Chinstrap,Dream,n/a,,212,5306,FEMALE
adelie,Biscoe,,,,99999,na
ADELIE,Dream,50.0,,,4342,FEMALE
Adelie,torgerSen,50.5,,,,na
adelie,torgerSen,n/a,15.4,,4118,MALE
Chinstrap,torgerSen,n/a,17.2,,4570,female
adelie,torgerSen,45.9,,,unknown,female
Gentoo,Biscoe,47.9,18.0,,99999,MALE
Gentoo,Biscoe,,18.0,206,unknown,female
Chinstrap,Biscoe,48.3,14.4,,,FEMALE
ADELIE,torgerSen,n/a,,209,,male
adelie,torgerSen,n/a,,,5469,MALE
Adelie,Torgersen,n/a,16.7,212,99999,
Adelie,Torgersen,,17.6,188,4238,female
Chinstrap,Torgersen,,,191,,na
Gentoo,Torgersen,,,,unknown,female
Chinstrap,Dream,45.1,16.1,,5047,MALE
Gentoo,Dream,40.5,,,3562,FEMALE
Adelie,Dream,n/a,16.9,,3646,male
Chinstrap,Dream,42.0,18.9,222,,MALE
adelie,Dream,,,,99999,
Gentoo,Torgersen,,17.8,186,,FEMALE
